task,lang,metric,baseline,method,n_queries,meandiff,t_stat,p_raw,p_adj_holm,reject
rat2rev,en,nDCG@100,bm25,jina-v3+task_q2e.gpt-4.1-mini,113,0.07072266851639321,4.248456574625128,4.469246592162577e-05,0.0011173116480406443,True
rat2rev,en,nDCG@100,bm25,jina-v3+task_q2e.qwen3.5-9b,113,0.07601273874606464,4.6618366687014525,8.709646260564088e-06,0.0002525797415563586,True
rat2rev,en,nDCG@100,bm25,mcontriever,113,-0.06421226512290461,-5.337687818483916,4.975768210383538e-07,1.6420035094265674e-05,True
rat2rev,en,nDCG@100,bm25,mcontriever-maxp-both,113,-0.04930341929908953,-4.562811748415513,1.2996213107592037e-05,0.00036389396701257706,True
rat2rev,en,nDCG@100,bm25,mcontriever-maxp-doc,113,-0.060889001782136506,-5.9280983712614805,3.457881551909464e-08,1.3139949897255963e-06,True
rat2rev,en,nDCG@100,bm25,mcontriever-maxp-q,113,-0.04701422414931275,-3.758954421181165,0.0002728302708016293,0.004638114603627698,True
rat2rev,en,nDCG@100,bm25,mdpr,113,-0.09209709675140433,-5.627418351159316,1.3684559928001944e-07,4.789595974800681e-06,True
rat2rev,en,nDCG@100,bm25,mdpr-maxp-both,113,-0.08485365993190078,-5.6823929192386275,1.0669617226861455e-07,3.841062201670124e-06,True
rat2rev,en,nDCG@100,bm25,mdpr-maxp-doc,113,-0.08803873588900198,-5.8866838848178,4.1878329843423305e-08,1.5494982042066623e-06,True
rat2rev,en,nDCG@100,bm25,mdpr-maxp-q,113,-0.08838623855020797,-5.380289218335268,4.1247916497917595e-07,1.4024291609291983e-05,True
rat2rev,en,nDCG@100,bm25,me5-base,113,-0.008871839115882959,-0.6443857729478832,0.5206428733357557,1.0,False
rat2rev,en,nDCG@100,bm25,me5-base-maxp-both,113,0.0035391858100042336,0.29891508540738826,0.7655587612656669,1.0,False
rat2rev,en,nDCG@100,bm25,me5-base-maxp-doc,113,-0.009166192061971055,-0.7443015112901669,0.4582528764771812,1.0,False
rat2rev,en,nDCG@100,bm25,me5-base-maxp-q,113,0.005325909434662012,0.39543610453840716,0.6932732519574901,1.0,False
